url,titre,entreprise,ville,fonction_secteur,experience,niveau_etude,contrat,teletravail,postes,region,description,secteur,fonction,experience_ext,niveau_ext,contrat_ext,contrat_clean,text_clean,cluster
https://www.rekrute.com/offre-emploi-java-full-stack-developer-hf-recrutement-afd.tech-rabat-181623.html,Java Full Stack Developer (H/F) - RABAT,Afd.Tech,Rabat,Informatique / Electronique - Secteur Informatique,,,,Hybride,,Rabat et région - Maroc,Java Full Stack Developer (H/F) - RABATInformatique / Electronique - Secteur InformatiqueIntermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans)Rabat et région - MarocBac +5 et plus - Master - UniversitéRecherche de nouveautéRespect des règlesTravail en équipeCDITélétravail : HybridePubliée il y a 21 jourssurReKrute.com- Postulez avant le09/06/2026,Informatique,Informatique / Electronique,3 à 5 ans,Bac +5 et plus - Master - UniversitéRecherche de nouveautéRespect des règlesTravail en équipeCDITélétravail : HybridePubliée il y a 21 jourssurReKrute.com- Postulez avant le09/06/2026,,,java full stack developer rabatinformatique electronique secteur informatiqueinterm diaire confirm rabat gion marocbac master universit recherche nouveaut respect règlestravail quipecdit travail hybridepubli jourssurrekrute postulez avant,4
https://www.rekrute.com/offre-emploi-project-officer-financement-de-projets-recrutement-attijariwafa-bank-casablanca-181327.html,Project Officer / Financement de projets - Casablanca,Attijariwafa Bank,Casablanca,Banque (métiers de la) - Secteur Banque / Finance -,,,,Non,3poste(s) sur Casablanca et région - Maroc,3poste(s) sur Casablanca et région - Maroc,,Banque / Finance -,Banque (métiers de la),,,,,,1
https://www.rekrute.com/offre-emploi-controleur-de-gestion-junior-recrutement-vinci-energies-afrique-de-louest-casablanca-181906.html,Contrôleur de Gestion Junior - Casablanca,Vinci Energies Afrique De Louest,Casablanca,Gestion / Comptabilité / Finance - Secteur Electricité - Autres Industries,,,,Non,,Casablanca et région - Maroc,Contrôleur de Gestion Junior - CasablancaGestion / Comptabilité / Finance - Secteur Electricité - Autres IndustriesDébutant (-1 an) - Junior (1 à 3 ans)Casablanca et région - MarocBac +5 et plus Minimum - Ecole de commerceConventionnelRespect des règlesBesoin d'objectivitéRationalismeOrganisationCDITélétravail : NonPubliée il y a 13 jourssurReKrute.com- Postulez avant le17/06/2026,Electricité - Autres Industries,Gestion / Comptabilité / Finance,1 à 3 ans,Bac +5 et plus Minimum - Ecole de commerceConventionnelRespect des règlesBesoin d'objectivitéRationalismeOrganisationCDITélétravail : NonPubliée il y a 13 jourssurReKrute.com- Postulez avant le17/06/2026,,,contrôleur gestion junior casablancagestion comptabilit finance secteur electricit autres industriesd butant junior casablanca gion marocbac minimum ecole commerceconventionnelrespect règlesbesoin objectivit rationalismeorganisationcdit travail nonpubli jourssurrekrute postulez avant,0
https://www.rekrute.com/offre-emploi-responsable-dequipe-sales-bilingue-fr-ou-eng-esit-ou-nl-recrutement-outsourcia-casablanca-182350.html,"Responsable d'équipe Sales bilingue (FR ou ENG + ES,IT ou NL) - Casablanca",Outsourcia,Casablanca,Centre d'appels (métiers de)- Responsable de Département- Secteur Centre d'appels - Offshoring / Nearshoring,,,,Non,1poste(s) sur Casablanca et région - Maroc,1poste(s) sur Casablanca et région - Maroc,"Responsable d'équipe Sales bilingue (FR ou ENG + ES,IT ou NL) - CasablancaCentre d'appels (métiers de)- Responsable de Département- Secteur Centre d'appels - Offshoring / NearshoringJunior (1 à 3 ans)1poste(s) sur Casablanca et région - MarocBac Minimum - BaccalauréatRecherche de nouveautéRespect des règlesExtraversionBesoin d'objectivitéDistance émotionnelleIntuition / SpontanéitéFlexibilitéBesoin d'actionCDITélétravail : NonPoste avec ManagementPubliée aujourd'huisurReKrute.com- Postulez avant le30/06/2026",Centre d'appels - Offshoring / Nearshoring,Centre d'appels (métiers de)- Responsable de Département,1 à 3 ans,,,,responsable quipe sales bilingue casablancacentre appels tiers responsable partement secteur centre appels offshoring nearshoringjunior poste casablanca gion marocbac minimum baccalaur atrecherche nouveaut respect règlesextraversionbesoin objectivit distance motionnelleintuition spontan flexibilit besoin actioncdit travail nonposte managementpubli aujourd huisurrekrute postulez avant,2
https://www.rekrute.com/offre-emploi-charge-de-developpement-des-ressources-humaines-recrutement-groupe-smeia-casablanca-182238.html,Chargé de Développement des Ressources Humaines - Casablanca,Groupe Smeia,Casablanca,RH / Personnel / Formation - Secteur Automobile / Motos / Cycles - Recrutement / Intérim,,,,Non,1poste(s) sur Casablanca et région - Maroc,1poste(s) sur Casablanca et région - Maroc,Chargé de Développement des Ressources Humaines - CasablancaRH / Personnel / Formation - Secteur Automobile / Motos / Cycles - Recrutement / IntérimConfirmé (5 à 10 ans)1poste(s) sur Casablanca et région - MarocBac +4 Minimum - Formation spécialiséeRecherche de nouveautéExtraversionBesoin d'objectivitéBesoin d'autonomieImplication au travailCDITélétravail : NonPubliée il y a 3 jourssurReKrute.com- Postulez avant le28/06/2026,Automobile / Motos / Cycles - Recrutement / Intérim,RH / Personnel / Formation,5 à 10 ans,Bac +4 Minimum - Formation spécialiséeRecherche de nouveautéExtraversionBesoin d'objectivitéBesoin d'autonomieImplication au travailCDITélétravail : NonPubliée il y a 3 jourssurReKrute.com- Postulez avant le28/06/2026,,,charg veloppement ressources humaines casablancarh personnel formation secteur automobile motos cycles recrutement rimconfirm poste casablanca gion marocbac minimum formation cialis erecherche nouveaut extraversionbesoin objectivit besoin autonomieimplication travailcdit travail nonpubli jourssurrekrute postulez avant,1
https://www.rekrute.com/offre-emploi-it-helpdesk-bilingue-francaisanglais---marche-canadien-recrutement-outsourcia-casablanca-181735.html,IT Helpdesk bilingue (français/anglais) - marché canadien - Casablanca,Outsourcia,Casablanca,Centre d'appels (métiers de) - Secteur Centre d'appels - Offshoring / Nearshoring,,,,Non,1poste(s) sur Casablanca et région - Maroc,1poste(s) sur Casablanca et région - Maroc,IT Helpdesk bilingue (français/anglais) - marché canadien - CasablancaCentre d'appels (métiers de) - Secteur Centre d'appels - Offshoring / NearshoringJunior (1 à 3 ans)1poste(s) sur Casablanca et région - MarocBac Minimum - BaccalauréatRespect des règlesVolonté de persuasionDistance émotionnelleTénacitéBesoin d'actionTravail en équipeImplication au travailOrganisationCDITélétravail : NonPubliée il y a 17 jourssurReKrute.com- Postulez avant le13/06/2026,Centre d'appels - Offshoring / Nearshoring,Centre d'appels (métiers de),1 à 3 ans,,,,helpdesk bilingue français anglais march canadien casablancacentre appels tiers secteur centre appels offshoring nearshoringjunior poste casablanca gion marocbac minimum baccalaur atrespect règlesvolont persuasiondistance motionnellet nacit besoin actiontravail quipeimplication travailorganisationcdit travail nonpubli jourssurrekrute postulez avant,2
https://www.rekrute.com/offre-emploi-technicien-de-maintenance-polyvalent-hf-recrutement-ocean-vagabond-lassarga-dakhla-181568.html,Technicien de Maintenance Polyvalent (H/F) - Dakhla,Ocean Vagabond Lassarga Dakhla,Autre,Hôtellerie / Restauration (métiers de)- Production / Qualité / Sécurité / Maintenance- Secteur Hôtellerie / Restauration - Tourisme / Voyage / Loisirs,,,,Non,1poste(s) sur Ouad Ed Dahab et région - Maroc,1poste(s) sur Ouad Ed Dahab et région - Maroc,Technicien de Maintenance Polyvalent (H/F) - DakhlaHôtellerie / Restauration (métiers de)- Production / Qualité / Sécurité / Maintenance- Secteur Hôtellerie / Restauration - Tourisme / Voyage / LoisirsJunior (1 à 3 ans) - Intermédiaire (3 à 5 ans)1poste(s) sur Ouad Ed Dahab et région - MarocBac MinimumRespect des règlesBesoin d'actionBesoin d'autonomieOrganisationCDITélétravail : NonPubliée il y a 23 jourssurReKrute.com- Postulez avant le07/06/2026,Hôtellerie / Restauration - Tourisme / Voyage / Loisirs,Hôtellerie / Restauration (métiers de)- Production / Qualité / Sécurité / Maintenance,1 à 3 ans,,,,technicien maintenance polyvalent dakhlahôtellerie restauration tiers production qualit curit maintenance secteur hôtellerie restauration tourisme voyage loisirsjunior interm diaire poste ouad dahab gion marocbac minimumrespect règlesbesoin actionbesoin autonomieorganisationcdit travail nonpubli jourssurrekrute postulez avant,3
https://www.rekrute.com/offre-emploi-directeurtrice-comptabilite-controle-de-gestion-groupe-recrutement-groupe-le-matin-casablanca-180372.html,ExeKutiveDirecteur(trice) Comptabilité & Contrôle de Gestion Groupe - Casablanca,Groupe Le Matin,Casablanca,Direction Financière - Secteur Autres Industries,,,,Non,1poste(s) sur Casablanca et région - Maroc,1poste(s) sur Casablanca et région - Maroc,ExeKutiveDirecteur(trice) Comptabilité & Contrôle de Gestion Groupe - CasablancaDirection Financière - Secteur Autres IndustriesConfirmé (5 à 10 ans)1poste(s) sur Casablanca et région - MarocBac +5 et plus Minimum - MasterConventionnelRespect des règlesBesoin d'objectivitéImplication au travailOrganisationCDITélétravail : NonPoste avec ManagementPubliée il y a 59 jourssurExekutive.biz- Postulez avant le02/06/2026,Autres Industries,Direction Financière,5 à 10 ans,Bac +5 et plus Minimum - MasterConventionnelRespect des règlesBesoin d'objectivitéImplication au travailOrganisationCDITélétravail : NonPoste avec ManagementPubliée il y a 59 jourssurExekutive.biz- Postulez avant le02/06/2026,,,exekutivedirecteur trice comptabilit contrôle gestion groupe casablancadirection financière secteur autres industriesconfirm poste casablanca gion marocbac minimum masterconventionnelrespect règlesbesoin objectivit implication travailorganisationcdit travail nonposte managementpubli jourssurexekutive postulez avant,0
https://www.rekrute.com/offre-emploi-technicien-montage-et-sav-recrutement-blue-box-maroc-180323.html,Technicien Montage et SAV - Maroc,Blue Box Maroc,Autre,Production / Qualité / Sécurité / Maintenance - Secteur BTP / Génie Civil - Indifférent,,,,Non,1poste(s) sur Casablanca et région - Maroc,1poste(s) sur Casablanca et région - Maroc,Technicien Montage et SAV - MarocProduction / Qualité / Sécurité / Maintenance - Secteur BTP / Génie Civil - IndifférentDébutant (-1 an) - Junior (1 à 3 ans)1poste(s) sur Casablanca et région - MarocBac +2 Minimum - Formation professionnelleRespect des règlesBesoin d'objectivitéRationalismeTénacitéTravail en équipeImplication au travailOrganisationCDITélétravail : NonPubliée il y a 6 jourssurReKrute.com- Postulez avant le31/05/2026,BTP / Génie Civil - Indifférent,Production / Qualité / Sécurité / Maintenance,1 à 3 ans,Bac +2 Minimum - Formation professionnelleRespect des règlesBesoin d'objectivitéRationalismeTénacitéTravail en équipeImplication au travailOrganisationCDITélétravail : NonPubliée il y a 6 jourssurReKrute.com- Postulez avant le31/05/2026,,,technicien montage marocproduction qualit curit maintenance secteur civil indiff rentd butant junior poste casablanca gion marocbac minimum formation professionnellerespect règlesbesoin objectivit rationalismet nacit travail quipeimplication travailorganisationcdit travail nonpubli jourssurrekrute postulez avant,3
https://www.rekrute.com/offre-emploi-squad-leader-vdi-recrutement-inetum-casablanca-181700.html,Squad Leader VDI - Casablanca,Inetum,Casablanca,Informatique / Electronique - Secteur Informatique,,,,Hybride,Poste avec Management,Casablanca et région - Maroc,Squad Leader VDI - CasablancaInformatique / Electronique - Secteur InformatiqueConfirmé (5 à 10 ans) - Expert (10 à 20 ans)Casablanca et région - MarocBac +5 et plus Minimum - Ecole d'ingénieur - Formation professionnelleRecherche de nouveautéBesoin de réflexionBesoin d'autonomieImplication au travailAmbitionCDITélétravail : HybridePoste avec ManagementPubliée il y a 20 jourssurReKrute.com- Postulez avant le11/06/2026,Informatique,Informatique / Electronique,5 à 10 ans,Bac +5 et plus Minimum - Ecole d'ingénieur - Formation professionnelleRecherche de nouveautéBesoin de réflexionBesoin d'autonomieImplication au travailAmbitionCDITélétravail : HybridePoste avec ManagementPubliée il y a 20 jourssurReKrute.com- Postulez avant le11/06/2026,,,squad leader casablancainformatique electronique secteur informatiqueconfirm expert casablanca gion marocbac minimum ecole nieur formation professionnellerecherche nouveaut besoin flexionbesoin autonomieimplication travailambitioncdit travail hybrideposte managementpubli jourssurrekrute postulez avant,4
